date,region,price_usd_ton,construction_index,rain_mm,marketing_spend,demand_tons
2023-01-01,Sierra,109.77,106.51,272.5,40.3,13504.0
2023-02-01,Sierra,103.82,95.15,166.4,52.6,14947.0
2023-03-01,Sierra,108.43,83.87,57.6,22.2,10307.0
2023-04-01,Sierra,110.44,100.64,242.5,32.9,11978.0
2023-05-01,Sierra,101.35,102.16,62.9,51.9,17632.0
2023-06-01,Sierra,108.17,79.75,248.8,36.2,11990.0
2023-07-01,Sierra,101.04,98.85,56.3,77.8,18331.0
2023-08-01,Sierra,109.33,88.0,89.1,35.0,12007.0
2023-09-01,Sierra,113.83,104.05,215.0,36.8,15708.0
2023-10-01,Sierra,110.16,84.81,139.0,65.5,14599.0
2023-11-01,Sierra,107.22,107.75,168.5,25.9,9826.0
2023-12-01,Sierra,99.88,97.47,149.6,57.0,14405.0
2024-01-01,Sierra,102.8,101.31,143.7,57.6,17068.0
2024-02-01,Sierra,105.05,90.18,67.6,58.5,15509.0
2024-03-01,Sierra,105.35,96.15,285.1,54.5,16631.0
2024-04-01,Sierra,98.81,121.33,285.4,43.2,14233.0
2024-05-01,Sierra,106.4,93.77,67.8,39.1,12750.0
2024-06-01,Sierra,109.25,103.57,207.2,72.6,16625.0
2024-07-01,Sierra,109.06,106.3,120.5,30.6,14117.0
2024-08-01,Sierra,108.05,99.79,143.0,66.6,16594.0
2024-09-01,Sierra,107.74,97.98,264.6,45.7,15049.0
2024-10-01,Sierra,109.07,113.05,130.0,73.7,18237.0
2024-11-01,Sierra,106.62,98.7,287.7,54.4,14367.0
2024-12-01,Sierra,115.46,89.94,218.1,65.1,14011.0
2022-01-01,Oriente,108.12,106.28,72.8,49.7,15398.0
2022-02-01,Oriente,101.61,109.75,137.7,27.0,13430.0
2022-03-01,Oriente,107.06,94.36,204.6,26.1,12257.0
2022-04-01,Oriente,102.47,95.29,71.2,79.2,17855.0
2022-05-01,Oriente,97.76,85.93,253.2,76.8,16053.0
2022-06-01,Oriente,103.93,103.11,156.1,74.4,19158.0
2022-07-01,Oriente,104.9,89.97,52.8,48.1,14321.0
2022-08-01,Oriente,100.86,105.19,290.5,42.5,16276.0
2022-09-01,Oriente,108.45,95.99,105.9,77.8,17513.0
2022-10-01,Oriente,105.06,100.98,292.3,51.4,14354.0
2022-11-01,Oriente,112.26,109.59,163.6,57.7,17066.0
2022-12-01,Oriente,105.92,121.9,119.3,31.3,14000.0
2023-01-01,Oriente,94.38,94.74,195.9,24.7,12754.0
2023-02-01,Oriente,114.38,109.5,221.2,29.8,12718.0
2023-03-01,Oriente,98.4,118.31,283.2,72.0,20020.0
2023-04-01,Oriente,102.65,82.87,292.5,70.5,17042.0
2023-05-01,Oriente,104.43,112.38,153.7,36.4,14613.0
2023-06-01,Oriente,105.23,95.5,162.6,27.7,12980.0
2023-07-01,Oriente,105.6,105.14,107.2,60.3,14851.0
2023-08-01,Oriente,111.39,103.32,180.1,66.3,15842.0
2023-09-01,Oriente,110.9,100.68,188.0,53.7,14878.0
2023-10-01,Oriente,109.86,106.45,226.0,32.8,14901.0
2023-11-01,Oriente,110.29,82.41,148.1,46.2,12692.0
2023-12-01,Oriente,108.59,115.02,149.1,57.3,16820.0
2024-01-01,Oriente,96.48,99.44,164.8,78.8,16060.0
2024-02-01,Oriente,104.55,86.96,69.0,27.7,12397.0
2024-03-01,Oriente,106.83,90.6,95.5,40.7,13157.0
2024-04-01,Oriente,109.78,90.14,98.1,22.5,11740.0
2024-05-01,Oriente,102.35,92.07,94.3,25.3,11869.0
2024-06-01,Oriente,99.82,94.46,175.9,61.4,14656.0
2024-07-01,Oriente,101.5,102.14,268.4,75.3,17644.0
2024-08-01,Oriente,103.9,106.14,96.1,32.6,14520.0
2024-09-01,Oriente,103.62,76.98,204.6,42.1,14011.0
2024-10-01,Oriente,103.75,105.77,177.9,51.9,15962.0
2024-11-01,Oriente,104.36,90.44,183.2,34.5,11905.0
2024-12-01,Oriente,97.89,93.53,79.9,73.4,16005.0
