timestamp,sensor_temp,sensor_vibration,sensor_pressure,sensor_co2,sensor_humidity,output_efficiency,anomaly
2024-06-02 18:00:00,760.75,2.45,4.03,339.1,52.9,100.1,0
2024-06-02 19:00:00,753.09,2.17,3.05,484.7,63.3,93.4,0
2024-06-02 20:00:00,850.14,4.19,6.33,632.6,61.4,76.9,1
2024-06-02 21:00:00,769.68,1.9,4.73,304.1,60.6,94.2,0
2024-06-02 22:00:00,737.09,2.4,4.28,369.8,62.2,92.7,0
2024-06-02 23:00:00,732.87,2.6,4.81,469.3,57.7,93.0,0
2024-06-03 00:00:00,751.85,2.13,3.76,408.8,51.5,101.7,0
2024-06-03 01:00:00,766.12,3.66,4.56,354.8,54.1,99.4,0
2024-06-03 02:00:00,825.22,4.62,5.02,554.4,76.5,76.0,1
2024-06-03 03:00:00,760.1,2.44,4.37,287.5,64.7,94.1,0
2024-06-03 04:00:00,733.74,2.57,5.19,454.2,68.9,92.3,0
2024-06-03 05:00:00,755.83,1.81,5.11,359.6,74.5,98.3,0
2024-06-03 06:00:00,769.09,2.47,3.79,422.9,65.7,96.8,0
2024-06-03 07:00:00,746.72,2.36,3.95,447.6,76.4,90.5,0
2024-06-03 08:00:00,757.42,2.7,4.87,413.9,58.6,94.2,0
2024-06-03 09:00:00,731.93,2.8,4.43,492.9,67.7,103.8,0
2024-06-03 10:00:00,737.15,2.89,4.71,438.0,73.9,95.6,0
2024-06-03 11:00:00,780.31,2.51,3.23,364.5,68.8,94.3,0
2024-06-03 12:00:00,764.63,2.12,4.2,380.4,49.4,87.0,0
2024-06-03 13:00:00,778.27,3.38,5.16,378.7,60.0,94.3,0
2024-06-03 14:00:00,761.1,2.15,5.29,323.1,52.0,96.3,0
2024-06-03 15:00:00,771.24,1.86,4.62,569.7,46.0,91.9,0
2024-06-03 16:00:00,872.39,2.99,6.35,706.2,48.3,84.8,1
2024-06-03 17:00:00,767.2,3.58,4.46,334.9,66.9,93.9,0
2024-06-03 18:00:00,758.67,2.54,4.43,337.5,53.8,95.9,0
2024-06-03 19:00:00,763.96,2.43,5.0,463.0,46.7,98.3,0
2024-06-03 20:00:00,766.93,2.36,4.76,361.4,46.9,94.7,0
2024-06-03 21:00:00,753.13,2.41,5.04,283.2,45.5,90.5,0
2024-06-03 22:00:00,762.24,3.05,5.1,430.7,63.2,92.0,0
2024-06-03 23:00:00,845.1,5.1,4.82,650.9,74.3,82.9,1
2024-06-04 00:00:00,766.81,3.99,3.43,358.0,70.6,93.1,0
2024-06-04 01:00:00,750.73,3.07,5.54,519.4,72.2,97.1,0
2024-06-04 02:00:00,733.9,2.59,4.39,219.9,60.2,94.9,0
2024-06-04 03:00:00,754.41,3.47,4.16,429.1,48.6,89.6,0
2024-06-04 04:00:00,749.05,1.47,4.83,313.5,47.1,91.9,0
2024-06-04 05:00:00,747.24,2.17,4.74,521.5,37.4,94.8,0
2024-06-04 06:00:00,737.69,2.47,4.0,435.1,57.0,86.5,0
2024-06-04 07:00:00,792.18,2.54,4.11,291.5,38.1,88.6,0
2024-06-04 08:00:00,769.22,3.38,5.12,369.8,57.4,92.1,0
2024-06-04 09:00:00,748.07,2.1,3.21,355.5,53.9,90.8,0
2024-06-04 10:00:00,763.94,2.48,5.31,506.7,67.6,88.1,0
2024-06-04 11:00:00,863.27,4.31,6.57,657.2,55.4,82.2,1
2024-06-04 12:00:00,754.71,2.17,3.5,361.4,82.5,92.6,0
2024-06-04 13:00:00,847.66,3.24,6.86,508.5,74.2,82.5,1
2024-06-04 14:00:00,790.94,2.17,3.96,325.3,53.3,99.6,0
2024-06-04 15:00:00,759.4,2.71,4.46,478.8,63.8,88.0,0
2024-06-04 16:00:00,785.77,2.98,3.94,532.9,53.4,90.0,0
2024-06-04 17:00:00,747.27,2.98,5.36,525.9,50.4,93.6,0
2024-06-04 18:00:00,776.1,1.94,3.54,516.0,74.7,92.7,0
2024-06-04 19:00:00,743.89,2.56,4.88,414.0,51.6,94.0,0
2024-06-04 20:00:00,811.85,3.8,4.01,574.4,61.6,81.5,1
2024-06-04 21:00:00,777.38,2.77,4.48,449.5,40.4,90.3,0
2024-06-04 22:00:00,757.25,1.94,5.52,433.6,53.8,98.8,0
2024-06-04 23:00:00,737.51,2.24,4.44,375.4,36.3,97.1,0
2024-06-05 00:00:00,750.03,1.98,4.42,601.5,58.8,97.6,0
2024-06-05 01:00:00,728.53,2.83,4.26,404.9,82.1,88.9,0
2024-06-05 02:00:00,758.93,3.51,4.32,436.0,49.4,97.5,0
2024-06-05 03:00:00,761.19,2.55,5.24,409.3,38.4,99.0,0
2024-06-05 04:00:00,766.54,2.19,4.69,218.5,82.9,93.4,0
2024-06-05 05:00:00,752.41,2.72,4.87,465.4,61.5,94.7,0
2024-06-05 06:00:00,777.23,2.46,4.46,494.3,79.1,95.1,0
2024-06-05 07:00:00,753.15,2.36,5.24,489.8,48.3,95.9,0
2024-06-05 08:00:00,776.82,2.29,3.99,358.3,50.6,97.5,0
2024-06-05 09:00:00,863.75,4.55,5.09,675.9,72.2,84.3,1
2024-06-05 10:00:00,765.41,2.81,4.07,430.5,47.8,94.3,0
2024-06-05 11:00:00,739.8,2.49,4.06,388.6,37.2,95.1,0
2024-06-05 12:00:00,783.11,2.57,4.44,420.1,54.4,91.8,0
2024-06-05 13:00:00,737.89,2.07,5.06,397.8,53.3,87.1,0
2024-06-05 14:00:00,755.13,2.58,3.52,510.4,47.5,95.6,0
2024-06-05 15:00:00,692.14,2.67,5.66,513.3,58.0,92.6,0
2024-06-05 16:00:00,770.67,2.87,4.69,523.8,44.5,94.6,0
2024-06-05 17:00:00,753.01,1.63,4.12,380.5,50.8,94.9,0
2024-06-05 18:00:00,740.8,2.58,5.14,330.2,47.4,98.5,0
2024-06-05 19:00:00,726.16,2.14,4.25,483.9,58.6,95.1,0
2024-06-05 20:00:00,748.93,2.97,4.51,573.1,71.5,89.6,0
2024-06-05 21:00:00,773.16,3.22,4.6,429.3,49.8,93.2,0
2024-06-05 22:00:00,744.62,2.64,4.8,403.4,27.9,94.4,0
2024-06-05 23:00:00,742.33,1.92,4.23,401.5,51.5,99.6,0
2024-06-06 00:00:00,745.46,2.83,4.32,583.0,53.2,95.7,0
2024-06-06 01:00:00,721.94,3.0,4.78,340.8,47.3,98.5,0
2024-06-06 02:00:00,785.0,2.17,4.66,401.5,47.2,89.2,0
2024-06-06 03:00:00,844.27,3.26,6.37,554.0,59.9,74.8,1
2024-06-06 04:00:00,769.37,1.29,4.5,414.7,61.3,94.2,0
2024-06-06 05:00:00,729.52,3.16,4.99,471.3,60.3,94.4,0
2024-06-06 06:00:00,748.7,2.67,5.15,353.6,34.5,95.3,0
2024-06-06 07:00:00,756.88,2.6,4.65,433.1,53.7,99.8,0
2024-06-06 08:00:00,745.48,2.47,4.09,349.2,72.5,94.0,0
2024-06-06 09:00:00,753.95,2.69,3.77,363.8,52.2,93.2,0
2024-06-06 10:00:00,761.52,3.32,4.75,383.7,43.1,100.1,0
2024-06-06 11:00:00,737.04,1.9,4.4,451.0,65.7,94.1,0
2024-06-06 12:00:00,731.39,2.49,4.57,460.6,56.0,88.5,0
2024-06-06 13:00:00,749.66,2.38,4.43,524.1,34.0,99.9,0
2024-06-06 14:00:00,837.39,3.07,6.1,668.0,63.2,82.0,1
2024-06-06 15:00:00,794.68,1.85,4.66,360.1,60.2,94.4,0
2024-06-06 16:00:00,751.8,1.91,3.95,480.4,69.7,98.6,0
2024-06-06 17:00:00,783.7,2.76,4.35,413.4,43.6,96.6,0
2024-06-06 18:00:00,763.08,2.95,4.45,343.1,55.8,92.6,0
2024-06-06 19:00:00,746.24,2.23,5.01,398.8,49.5,99.2,0
2024-06-06 20:00:00,758.56,2.65,4.61,460.8,67.8,92.2,0
2024-06-06 21:00:00,713.47,3.04,3.8,472.3,56.1,90.9,0
2024-06-06 22:00:00,757.88,2.47,3.59,573.3,61.4,103.9,0
2024-06-06 23:00:00,735.25,1.86,4.43,487.7,54.7,99.9,0
